id,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,created_at
2831,First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper,78.304,2,0.2,29.364,2024-08-16 12:06:06.966875
2832,Standard Class,Consumer,United States,Portland,Oregon,97206,West,Office Supplies,Storage,443.92,5,0.2,-94.333,2024-08-16 12:06:06.966875
2833,Standard Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,155.976,3,0.2,54.5916,2024-08-16 12:06:06.966875
2834,Second Class,Corporate,United States,Hoover,Alabama,35244,South,Office Supplies,Art,15.47,7,0.0,4.1769,2024-08-16 12:06:06.966875
2835,Second Class,Corporate,United States,Hoover,Alabama,35244,South,Office Supplies,Binders,7.16,2,0.0,3.4368,2024-08-16 12:06:06.966875
2836,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Appliances,10.89,1,0.0,2.8314,2024-08-16 12:06:06.966875
2837,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,19.44,3,0.0,9.3312,2024-08-16 12:06:06.966875
2838,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Binders,121.6,5,0.2,39.52,2024-08-16 12:06:06.966875
2839,First Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Machines,695.7,2,0.5,-27.828,2024-08-16 12:06:06.966875
2840,Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,120.33,1,0.0,31.2858,2024-08-16 12:06:06.966875
2841,Standard Class,Home Office,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs,1139.92,4,0.0,284.98,2024-08-16 12:06:06.966875
2842,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Paper,229.544,7,0.2,83.2097,2024-08-16 12:06:06.966875
2843,Standard Class,Consumer,United States,Huntsville,Texas,77340,Central,Office Supplies,Storage,143.728,2,0.2,-32.3388,2024-08-16 12:06:06.966875
2844,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,36.048,3,0.2,-0.9012,2024-08-16 12:06:06.966875
2845,Standard Class,Corporate,United States,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,0.3,-12.0784,2024-08-16 12:06:06.966875
2846,First Class,Consumer,United States,Everett,Massachusetts,2149,East,Office Supplies,Art,50.94,3,0.0,14.2632,2024-08-16 12:06:06.966875
2847,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,762.594,3,0.8,-1143.891,2024-08-16 12:06:06.966875
2848,Standard Class,Corporate,United States,Roswell,Georgia,30076,South,Furniture,Furnishings,56.28,6,0.0,15.7584,2024-08-16 12:06:06.966875
2849,Standard Class,Corporate,United States,Roswell,Georgia,30076,South,Office Supplies,Binders,2690.97,3,0.0,1264.7559,2024-08-16 12:06:06.966875
2850,Standard Class,Corporate,United States,Palm Coast,Florida,32137,South,Office Supplies,Binders,7.434,6,0.7,-5.6994,2024-08-16 12:06:06.966875
2851,First Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,64.784,1,0.2,-12.9568,2024-08-16 12:06:06.966875
2852,Standard Class,Home Office,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,28.16,4,0.0,13.2352,2024-08-16 12:06:06.966875
2853,Second Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,14.98,1,0.0,6.8908,2024-08-16 12:06:06.966875
2854,Second Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,20.32,4,0.0,6.9088,2024-08-16 12:06:06.966875
2855,Same Day,Corporate,United States,Franklin,Massachusetts,2038,East,Office Supplies,Storage,40.29,3,0.0,10.4754,2024-08-16 12:06:06.966875
2856,Standard Class,Consumer,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,20.23,7,0.0,9.5081,2024-08-16 12:06:06.966875
2857,First Class,Corporate,United States,San Diego,California,92037,West,Furniture,Chairs,1603.136,4,0.2,100.196,2024-08-16 12:06:06.966875
2858,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Chairs,225.296,2,0.2,22.5296,2024-08-16 12:06:06.966875
2859,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Accessories,67.8,4,0.0,4.068,2024-08-16 12:06:06.966875
2860,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Phones,377.97,3,0.0,98.2722,2024-08-16 12:06:06.966875
2861,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Furniture,Bookcases,1628.82,9,0.0,374.6286,2024-08-16 12:06:06.966875
2862,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,286.93,7,0.0,140.5957,2024-08-16 12:06:06.966875
2863,Standard Class,Consumer,United States,Orlando,Florida,32839,South,Office Supplies,Paper,20.736,4,0.2,7.2576,2024-08-16 12:06:06.966875
2864,Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,31.44,3,0.0,8.4888,2024-08-16 12:06:06.966875
2865,Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,83.79,7,0.0,22.6233,2024-08-16 12:06:06.966875
2866,Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,59.52,3,0.0,15.4752,2024-08-16 12:06:06.966875
2867,Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies,31.92,4,0.0,9.2568,2024-08-16 12:06:06.966875
2868,Second Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Supplies,14.72,5,0.2,-3.312,2024-08-16 12:06:06.966875
2869,Second Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Storage,38.976,3,0.2,-2.436,2024-08-16 12:06:06.966875
2870,Standard Class,Consumer,United States,Saint Petersburg,Florida,33710,South,Furniture,Furnishings,17.088,2,0.2,1.068,2024-08-16 12:06:06.966875
2871,Standard Class,Corporate,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,74.352,3,0.2,23.235,2024-08-16 12:06:06.966875
2872,Standard Class,Corporate,United States,Tucson,Arizona,85705,West,Furniture,Chairs,314.352,3,0.2,-35.3646,2024-08-16 12:06:06.966875
2873,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Art,4.26,1,0.0,1.7466,2024-08-16 12:06:06.966875
2874,Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Storage,811.28,8,0.0,24.3384,2024-08-16 12:06:06.966875
2875,First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Fasteners,6.03,3,0.0,2.9547,2024-08-16 12:06:06.966875
2876,Second Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs,153.568,2,0.2,-5.7588,2024-08-16 12:06:06.966875
2877,Second Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs,1013.488,7,0.2,76.0116,2024-08-16 12:06:06.966875
2878,Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Envelopes,52.34,2,0.0,24.5998,2024-08-16 12:06:06.966875
2879,Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Art,4.66,2,0.0,1.3514,2024-08-16 12:06:06.966875
2880,Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Technology,Accessories,254.97,3,0.0,91.7892,2024-08-16 12:06:06.966875
2881,Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Binders,25.44,6,0.0,12.72,2024-08-16 12:06:06.966875
2882,Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Supplies,27.93,3,0.0,8.0997,2024-08-16 12:06:06.966875
2883,Standard Class,Consumer,United States,Woodstock,Illinois,60098,Central,Office Supplies,Binders,8.85,5,0.8,-13.7175,2024-08-16 12:06:06.966875
2884,Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Furnishings,6.96,4,0.0,2.2272,2024-08-16 12:06:06.966875
2885,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,17.456,2,0.2,5.8914,2024-08-16 12:06:06.966875
2886,Standard Class,Consumer,United States,Tempe,Arizona,85281,West,Furniture,Chairs,307.92,5,0.2,-34.641,2024-08-16 12:06:06.966875
2887,First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Art,6.63,3,0.0,1.7901,2024-08-16 12:06:06.966875
2888,First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,12.96,2,0.0,6.2208,2024-08-16 12:06:06.966875
2889,First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,32.4,5,0.0,15.552,2024-08-16 12:06:06.966875
2890,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,23.85,5,0.0,10.7325,2024-08-16 12:06:06.966875
2891,Second Class,Consumer,United States,Lake Charles,Louisiana,70601,South,Furniture,Chairs,51.96,2,0.0,12.99,2024-08-16 12:06:06.966875
2892,Second Class,Consumer,United States,Lake Charles,Louisiana,70601,South,Office Supplies,Binders,17.94,3,0.0,8.6112,2024-08-16 12:06:06.966875
2893,Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,11.56,2,0.0,5.6644,2024-08-16 12:06:06.966875
2894,Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,26.4,5,0.0,11.88,2024-08-16 12:06:06.966875
2895,Standard Class,Corporate,United States,Rochester,New York,14609,East,Furniture,Furnishings,69.08,11,0.0,29.0136,2024-08-16 12:06:06.966875
2896,Standard Class,Corporate,United States,Rochester,New York,14609,East,Technology,Phones,35.88,3,0.0,10.0464,2024-08-16 12:06:06.966875
2897,Standard Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Art,49.65,5,0.0,20.853,2024-08-16 12:06:06.966875
2898,Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Technology,Copiers,959.968,4,0.2,119.996,2024-08-16 12:06:06.966875
2899,Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs,408.422,2,0.3,-5.8346,2024-08-16 12:06:06.966875
2900,Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Copiers,479.984,2,0.2,59.998,2024-08-16 12:06:06.966875
2901,Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels,12.6,4,0.0,6.048,2024-08-16 12:06:06.966875
2902,Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,184.66,7,0.0,84.9436,2024-08-16 12:06:06.966875
2903,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,23.12,5,0.2,8.381,2024-08-16 12:06:06.966875
2904,Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Office Supplies,Paper,37.464,7,0.2,12.1758,2024-08-16 12:06:06.966875
2905,Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Furniture,Chairs,539.658,3,0.3,-7.7094,2024-08-16 12:06:06.966875
2906,Standard Class,Home Office,United States,Seattle,Washington,98115,West,Office Supplies,Storage,310.12,2,0.0,80.6312,2024-08-16 12:06:06.966875
2907,Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Paper,8.56,2,0.0,3.852,2024-08-16 12:06:06.966875
2908,Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Storage,52.4,5,0.0,14.148,2024-08-16 12:06:06.966875
2909,Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels,14.94,3,0.0,6.8724,2024-08-16 12:06:06.966875
2910,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Fasteners,11.22,3,0.0,0.2244,2024-08-16 12:06:06.966875
2911,Standard Class,Consumer,United States,Coral Springs,Florida,33065,South,Office Supplies,Appliances,387.136,4,0.2,24.196,2024-08-16 12:06:06.966875
2912,Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Envelopes,41.4,5,0.0,19.458,2024-08-16 12:06:06.966875
2913,Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Art,35.0,4,0.0,10.5,2024-08-16 12:06:06.966875
2914,Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Binders,39.552,3,0.2,14.3376,2024-08-16 12:06:06.966875
2915,Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Technology,Phones,135.72,3,0.0,35.2872,2024-08-16 12:06:06.966875
2916,Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Office Supplies,Binders,12.56,2,0.0,5.652,2024-08-16 12:06:06.966875
2917,Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Technology,Phones,263.96,4,0.0,71.2692,2024-08-16 12:06:06.966875
2918,First Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Art,5.952,1,0.2,0.372,2024-08-16 12:06:06.966875
2919,Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Fasteners,15.8,5,0.2,2.37,2024-08-16 12:06:06.966875
2920,Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,14.368,2,0.2,3.9512,2024-08-16 12:06:06.966875
2921,Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,70.448,7,0.2,12.3284,2024-08-16 12:06:06.966875
2922,Same Day,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Storage,129.3,2,0.0,6.465,2024-08-16 12:06:06.966875
2923,Second Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Binders,3.882,3,0.8,-5.823,2024-08-16 12:06:06.966875
2924,Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Fasteners,6.08,1,0.0,3.04,2024-08-16 12:06:06.966875
2925,First Class,Consumer,United States,Watertown,New York,13601,East,Office Supplies,Appliances,19.9,1,0.0,8.955,2024-08-16 12:06:06.966875
2926,First Class,Consumer,United States,Watertown,New York,13601,East,Furniture,Furnishings,70.71,1,0.0,4.9497,2024-08-16 12:06:06.966875
2927,Second Class,Consumer,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,18.84,3,0.0,7.9128,2024-08-16 12:06:06.966875
2928,Standard Class,Consumer,United States,Apple Valley,Minnesota,55124,Central,Office Supplies,Art,8.64,3,0.0,2.5056,2024-08-16 12:06:06.966875
2929,Standard Class,Home Office,United States,Burlington,North Carolina,27217,South,Office Supplies,Binders,1633.188,4,0.7,-1306.5504,2024-08-16 12:06:06.966875
2930,Standard Class,Home Office,United States,Saginaw,Michigan,48601,Central,Furniture,Furnishings,19.76,4,0.0,8.2992,2024-08-16 12:06:06.966875
2931,Same Day,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,6.608,2,0.2,2.2302,2024-08-16 12:06:06.966875
2932,Same Day,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,7.28,2,0.2,2.73,2024-08-16 12:06:06.966875
2933,Same Day,Consumer,United States,San Francisco,California,94109,West,Furniture,Chairs,144.784,1,0.2,10.8588,2024-08-16 12:06:06.966875
2934,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Phones,156.792,1,0.2,13.7193,2024-08-16 12:06:06.966875
2935,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Phones,431.976,3,0.2,26.9985,2024-08-16 12:06:06.966875
2936,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Envelopes,35.89,1,0.0,16.1505,2024-08-16 12:06:06.966875
2937,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,47.208,7,0.2,15.3426,2024-08-16 12:06:06.966875
2938,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,248.08,7,0.0,116.5976,2024-08-16 12:06:06.966875
2939,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,189.7,5,0.0,89.159,2024-08-16 12:06:06.966875
2940,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,59.808,3,0.2,19.4376,2024-08-16 12:06:06.966875
2941,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,90.99,1,0.0,14.5584,2024-08-16 12:06:06.966875
2942,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,1526.56,7,0.0,427.4368,2024-08-16 12:06:06.966875
2943,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,368.97,3,0.0,40.5867,2024-08-16 12:06:06.966875
2944,Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Storage,305.01,9,0.0,76.2525,2024-08-16 12:06:06.966875
2945,Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Furnishings,18.7,1,0.0,7.106,2024-08-16 12:06:06.966875
2946,First Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,38.29,7,0.0,16.4647,2024-08-16 12:06:06.966875
2947,Standard Class,Home Office,United States,San Diego,California,92024,West,Furniture,Furnishings,26.25,3,0.0,11.025,2024-08-16 12:06:06.966875
2948,Standard Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Binders,64.96,14,0.2,22.736,2024-08-16 12:06:06.966875
2949,Standard Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Envelopes,43.7,5,0.0,20.539,2024-08-16 12:06:06.966875
2950,Same Day,Home Office,United States,Glendale,Arizona,85301,West,Technology,Accessories,41.6,4,0.2,13.0,2024-08-16 12:06:06.966875
2951,Same Day,Home Office,United States,Glendale,Arizona,85301,West,Office Supplies,Paper,23.12,5,0.2,8.381,2024-08-16 12:06:06.966875
2952,Same Day,Home Office,United States,Glendale,Arizona,85301,West,Furniture,Chairs,113.888,2,0.2,9.9652,2024-08-16 12:06:06.966875
2953,Same Day,Home Office,United States,Glendale,Arizona,85301,West,Furniture,Furnishings,113.568,2,0.2,-5.6784,2024-08-16 12:06:06.966875
2954,Same Day,Home Office,United States,Glendale,Arizona,85301,West,Technology,Phones,7.92,2,0.2,0.693,2024-08-16 12:06:06.966875
2955,Same Day,Home Office,United States,Glendale,Arizona,85301,West,Technology,Phones,671.984,2,0.2,50.3988,2024-08-16 12:06:06.966875
2956,Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,39.99,1,0.0,11.5971,2024-08-16 12:06:06.966875
2957,Standard Class,Home Office,United States,Watertown,New York,13601,East,Furniture,Chairs,191.646,3,0.1,31.941,2024-08-16 12:06:06.966875
2958,Standard Class,Consumer,United States,Springfield,Ohio,45503,East,Office Supplies,Binders,2.313,1,0.7,-1.9275,2024-08-16 12:06:06.966875
2959,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,19.936,4,0.2,7.2268,2024-08-16 12:06:06.966875
2960,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Fasteners,45.92,4,0.0,21.5824,2024-08-16 12:06:06.966875
2961,Standard Class,Home Office,United States,Seattle,Washington,98115,West,Office Supplies,Paper,20.34,3,0.0,9.3564,2024-08-16 12:06:06.966875
2962,Standard Class,Home Office,United States,Seattle,Washington,98115,West,Office Supplies,Labels,39.28,8,0.0,19.2472,2024-08-16 12:06:06.966875
2963,Second Class,Corporate,United States,Oceanside,California,92054,West,Furniture,Chairs,81.568,2,0.2,9.1764,2024-08-16 12:06:06.966875
2964,Second Class,Corporate,United States,Oceanside,California,92054,West,Furniture,Chairs,97.184,2,0.2,6.074,2024-08-16 12:06:06.966875
2965,Second Class,Corporate,United States,Oceanside,California,92054,West,Office Supplies,Binders,24.32,5,0.2,8.208,2024-08-16 12:06:06.966875
2966,Second Class,Corporate,United States,Oceanside,California,92054,West,Furniture,Furnishings,18.96,2,0.0,7.584,2024-08-16 12:06:06.966875
2967,Standard Class,Consumer,United States,Skokie,Illinois,60076,Central,Furniture,Furnishings,32.952,6,0.6,-19.7712,2024-08-16 12:06:06.966875
2968,Standard Class,Consumer,United States,Skokie,Illinois,60076,Central,Office Supplies,Storage,30.016,4,0.2,3.0016,2024-08-16 12:06:06.966875
2969,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,499.584,3,0.2,43.7136,2024-08-16 12:06:06.966875
2970,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Paper,31.104,6,0.2,10.8864,2024-08-16 12:06:06.966875
2971,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Binders,13.272,8,0.7,-10.6176,2024-08-16 12:06:06.966875
2972,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,28.272,2,0.2,6.3612,2024-08-16 12:06:06.966875
2973,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Storage,259.136,4,0.2,-51.8272,2024-08-16 12:06:06.966875
2974,Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,10.8,5,0.0,5.184,2024-08-16 12:06:06.966875
2975,Standard Class,Consumer,United States,Allen,Texas,75002,Central,Furniture,Tables,244.006,2,0.3,-31.3722,2024-08-16 12:06:06.966875
2976,Standard Class,Consumer,United States,Allen,Texas,75002,Central,Office Supplies,Paper,15.936,4,0.2,5.3784,2024-08-16 12:06:06.966875
2977,Same Day,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,188.552,7,0.3,-2.6936,2024-08-16 12:06:06.966875
2978,Second Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Storage,22.58,2,0.0,5.8708,2024-08-16 12:06:06.966875
2979,Second Class,Consumer,United States,Mount Pleasant,South Carolina,29464,South,Furniture,Chairs,545.94,6,0.0,87.3504,2024-08-16 12:06:06.966875
2980,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,20.736,4,0.2,7.2576,2024-08-16 12:06:06.966875
2981,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,43.296,2,0.2,4.3296,2024-08-16 12:06:06.966875
2982,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,123.136,4,0.2,13.8528,2024-08-16 12:06:06.966875
2983,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,11.264,4,0.2,3.8016,2024-08-16 12:06:06.966875
2984,Second Class,Consumer,United States,Springfield,Oregon,97477,West,Office Supplies,Storage,53.424,3,0.2,4.6746,2024-08-16 12:06:06.966875
2985,Second Class,Consumer,United States,Springfield,Oregon,97477,West,Furniture,Tables,275.49,1,0.5,-170.8038,2024-08-16 12:06:06.966875
2986,Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,24.96,4,0.0,6.24,2024-08-16 12:06:06.966875
2987,Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,19.36,2,0.0,9.2928,2024-08-16 12:06:06.966875
2988,Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Storage,1267.65,9,0.0,152.118,2024-08-16 12:06:06.966875
2989,Second Class,Corporate,United States,Los Angeles,California,90032,West,Technology,Accessories,12.99,1,0.0,0.7794,2024-08-16 12:06:06.966875
2990,Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.56,4,0.2,6.496,2024-08-16 12:06:06.966875
2991,Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Storage,449.15,5,0.0,8.983,2024-08-16 12:06:06.966875
2992,Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,31.248,7,0.2,10.9368,2024-08-16 12:06:06.966875
2993,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Appliances,61.44,3,0.0,16.5888,2024-08-16 12:06:06.966875
2994,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,895.92,4,0.0,421.0824,2024-08-16 12:06:06.966875
2995,Second Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,Binders,55.36,4,0.2,18.684,2024-08-16 12:06:06.966875
2996,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,55.92,5,0.2,6.291,2024-08-16 12:06:06.966875
2997,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,24.896,4,0.2,8.4024,2024-08-16 12:06:06.966875
2998,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,3.984,1,0.2,0.6474,2024-08-16 12:06:06.966875
2999,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,95.968,4,0.2,28.7904,2024-08-16 12:06:06.966875
3000,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,0.7,-172.4925,2024-08-16 12:06:06.966875
3001,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Appliances,44.416,2,0.2,3.8864,2024-08-16 12:06:06.966875
3002,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,9.006,2,0.7,-7.2048,2024-08-16 12:06:06.966875
3003,Standard Class,Home Office,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Binders,19.0,5,0.0,8.93,2024-08-16 12:06:06.966875
3004,Standard Class,Home Office,United States,Rochester,New York,14609,East,Office Supplies,Binders,33.376,4,0.2,10.43,2024-08-16 12:06:06.966875
3005,First Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Appliances,207.48,1,0.0,62.244,2024-08-16 12:06:06.966875
3006,Standard Class,Home Office,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Binders,91.68,3,0.0,45.84,2024-08-16 12:06:06.966875
3007,First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,904.9,5,0.0,253.372,2024-08-16 12:06:06.966875
3008,Standard Class,Consumer,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Binders,34.272,3,0.2,11.1384,2024-08-16 12:06:06.966875
3009,First Class,Consumer,United States,Murray,Kentucky,42071,South,Furniture,Furnishings,191.82,3,0.0,74.8098,2024-08-16 12:06:06.966875
3010,Standard Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,243.88,5,0.2,27.4365,2024-08-16 12:06:06.966875
3011,Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,12.03,5,0.7,-9.223,2024-08-16 12:06:06.966875
3012,Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5,0.7,-3399.98,2024-08-16 12:06:06.966875
3013,Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,21.594,2,0.7,-15.8356,2024-08-16 12:06:06.966875
3014,Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,8.964,6,0.7,-6.5736,2024-08-16 12:06:06.966875
3015,Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,20.736,4,0.2,7.2576,2024-08-16 12:06:06.966875
3016,Standard Class,Home Office,United States,New York City,New York,10035,East,Furniture,Tables,344.22,2,0.4,-103.266,2024-08-16 12:06:06.966875
3017,Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328,2024-08-16 12:06:06.966875
3018,Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736,2024-08-16 12:06:06.966875
3019,Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32,2024-08-16 12:06:06.966875
3020,Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Fasteners,5.04,3,0.0,0.2016,2024-08-16 12:06:06.966875
